query_id,doc_id,label,bm25_score,tfidf_score,pagerank,ctr,title_match,url_depth,doc_length_norm,freshness,exact_match,domain_authority
4,17,0,3.8359,0.0714,0.2448,0.1383,0.5483,7,0.0318,0.8821,0,0.3926
4,18,0,0.8258,0.5538,0.4544,0.0791,0.2274,4,0.03,0.7078,0,0.5955
4,19,0,5.8264,2.8454,0.0989,0.0749,0.4592,3,0.0195,0.7863,0,0.3216
5,0,1,4.2336,3.067,0.2497,0.0029,0.4639,4,0.0337,0.1055,0,0.6843
5,1,2,3.1487,1.2927,0.3399,0.0508,0.6959,4,0.059,0.3631,1,0.0602
5,2,2,0.9041,1.9787,0.1304,0.153,0.9884,5,0.0235,0.9841,0,0.1567
5,3,2,2.5413,3.3144,0.7119,0.128,0.7102,4,0.0107,0.2543,1,0.8143
5,4,1,0.1824,1.9045,0.4132,0.0528,0.8062,6,0.008,0.9791,0,0.5825
5,5,2,3.6285,0.4912,0.3303,0.0138,0.3039,6,0.0568,0.2328,1,0.3841
5,6,0,0.0004,0.2778,0.1382,0.0095,0.018,6,0.0277,0.9181,0,0.2218
5,7,2,0.6612,3.0924,0.1633,0.0164,0.4688,1,0.085,0.5988,0,0.2646
5,8,2,9.0249,1.476,0.4379,0.028,0.2523,5,0.1625,0.599,0,0.4779
5,9,0,0.7624,0.8553,0.2829,0.0824,0.5917,5,0.1639,0.1317,0,0.6024
5,10,1,0.6266,0.7838,0.3268,0.097,0.4697,5,0.003,0.4743,0,0.5602
5,11,1,1.243,0.8658,0.441,0.1541,0.8182,5,0.0447,0.8742,0,0.0792
5,12,3,1.0587,3.5726,0.2459,0.2735,0.0595,7,0.0467,0.8716,0,0.4808
5,13,2,4.6116,0.7769,0.6396,0.0642,0.5987,6,0.0819,0.6126,1,0.4182
5,14,0,0.0236,0.8224,0.4746,0.0268,0.6523,4,0.0839,0.3874,1,0.2689
5,15,1,0.9698,0.8971,0.3732,0.0012,0.0274,4,0.015,0.1669,0,0.6675
5,16,0,0.0516,1.5569,0.0519,0.0279,0.2179,4,0.203,0.5597,0,0.1754
5,17,0,1.0065,0.5636,0.5121,0.0462,0.474,6,0.1304,0.984,0,0.7182
5,18,0,1.5592,0.2511,0.3083,0.0795,0.0576,6,0.0168,0.6774,0,0.2636
5,19,2,3.0501,1.9897,0.2539,0.1436,0.8526,5,0.0088,0.964,1,0.2912
6,0,2,0.2667,2.3714,0.3996,0.0606,0.5887,2,0.0596,0.4914,0,0.0334
6,1,2,4.4972,0.9132,0.0843,0.0978,0.3119,3,0.1057,0.4483,0,0.4706
6,2,1,2.3588,0.2166,0.2971,0.0284,0.0089,3,0.0356,0.6329,0,0.2956
6,3,0,0.2205,0.764,0.0908,0.0201,0.6978,5,0.0884,0.9551,0,0.3286
6,4,1,0.1514,0.7734,0.3572,0.2737,0.9061,5,0.1274,0.549,0,0.4998
6,5,1,0.4161,1.9083,0.1675,0.2127,0.3032,7,0.2442,0.5525,0,0.5371
6,6,1,1.9861,0.0838,0.2573,0.1122,0.8393,1,0.0652,0.0827,1,0.3276
6,7,1,1.6964,3.566,0.1977,0.0847,0.6758,7,0.0451,0.167,1,0.4093
6,8,2,0.2227,2.2837,0.4404,0.0769,0.4577,2,0.1438,0.0029,1,0.8497
6,9,1,0.9278,3.0576,0.2702,0.0031,0.7371,6,0.0342,0.6448,0,0.1636
6,10,0,0.2365,1.0881,0.4126,0.0199,0.4929,7,0.078,0.2667,1,0.3489
6,11,1,1.2136,0.4664,0.2256,0.0138,0.4355,5,0.0104,0.3418,1,0.6997
6,12,2,4.2282,1.6886,0.512,0.0166,0.8995,5,0.0192,0.4841,1,0.2361
6,13,1,0.1572,0.6828,0.2139,0.1871,0.636,7,0.0516,0.1639,0,0.7258
6,14,2,5.3359,1.0317,0.4442,0.1506,0.9491,6,0.0334,0.807,0,0.4028
6,15,1,1.1795,0.352,0.1621,0.2355,0.437,3,0.0562,0.1761,0,0.3742
6,16,3,6.8257,0.7483,0.317,0.044,0.9602,2,0.0401,0.0121,0,0.807
6,17,2,3.7683,1.9577,0.328,0.1122,0.9195,3,0.0211,0.4947,0,0.7506
6,18,1,0.6447,1.4594,0.1063,0.2793,0.8774,4,0.0409,0.2209,0,0.1905
6,19,3,6.0099,1.3071,0.7381,0.0263,0.8926,5,0.0302,0.7631,1,0.2824
7,0,0,2.0214,0.6797,0.0684,0.1168,0.7267,5,0.0796,0.1516,1,0.67
7,1,0,0.2736,2.1757,0.1651,0.0506,0.7293,4,0.0191,0.3101,1,0.0832
7,2,0,0.2679,0.6164,0.1068,0.0255,0.0207,2,0.0067,0.7806,0,0.7493
7,3,0,1.4425,1.0666,0.2133,0.1623,0.729,6,0.0329,0.0519,0,0.5294
7,4,0,2.894,1.6678,0.774,0.0541,0.7822,3,0.0324,0.0114,1,0.3136
7,5,1,6.8246,0.0796,0.3877,0.1273,0.3966,3,0.0486,0.6772,0,0.4253
7,6,0,0.7504,4.1069,0.0685,0.0031,0.935,5,0.0261,0.7327,0,0.5912
7,7,1,5.7809,1.5397,0.2929,0.1089,0.2779,2,0.0393,0.9771,0,0.3293
7,8,1,1.7454,0.3431,0.1496,0.0982,0.1439,7,0.333,0.077,0,0.3437
7,9,1,0.6223,0.0228,0.3669,0.1262,0.2711,4,0.0353,0.6123,0,0.4194
7,10,0,1.975,0.7307,0.2153,0.0803,0.665,2,0.081,0.0083,0,0.4837
7,11,0,2.5707,0.0136,0.036,0.0807,0.1993,7,0.0375,0.0158,0,0.5002
7,12,0,1.8181,1.3551,0.1305,0.0504,0.5136,7,0.0202,0.7379,0,0.4474
7,13,1,0.9192,3.3856,0.3301,0.0188,0.4276,4,0.0127,0.784,0,0.3417
7,14,0,1.7843,0.7854,0.1968,0.1153,0.1119,5,0.0346,0.0705,0,0.4715
7,15,0,0.7416,0.4314,0.4158,0.1338,0.3078,7,0.0356,0.3544,0,0.3066
7,16,0,0.431,2.9365,0.3533,0.0803,0.1793,6,0.0578,0.3848,0,0.7037
7,17,1,1.559,0.6352,0.3504,0.0853,0.1184,2,0.0098,0.0577,0,0.3529
7,18,0,1.1205,1.1677,0.3229,0.0472,0.1154,1,0.1017,0.4957,1,0.4552
7,19,0,2.9655,4.5375,0.3283,0.0467,0.2219,2,0.0534,0.8361,1,0.9103
8,0,1,0.4053,2.8963,0.1765,0.1458,0.8774,4,0.0428,0.1817,1,0.2689
8,1,2,0.5268,4.2852,0.3421,0.0909,0.3745,4,0.0989,0.7088,0,0.6258
8,2,1,3.2643,2.223,0.1547,0.111,0.1403,5,0.0753,0.2072,1,0.789
8,3,1,1.8598,0.8515,0.157,0.026,0.7128,3,0.0596,0.8615,1,0.1372
8,4,0,0.2869,0.8801,0.3561,0.0503,0.5287,4,0.0835,0.4631,0,0.4884
8,5,1,8.1854,2.3176,0.539,0.053,0.4152,3,0.063,0.8581,1,0.561
8,6,1,1.1469,1.6484,0.3383,0.1495,0.3181,3,0.0124,0.0224,0,0.2707
8,7,1,2.8735,0.0596,0.3535,0.103,0.581,5,0.155,0.6761,0,0.3794
8,8,1,0.9288,1.4456,0.0879,0.1411,0.9492,5,0.0379,0.6748,0,0.5085
8,9,1,2.0919,0.483,0.3069,0.0713,0.6678,5,0.0337,0.4549,0,0.1282
8,10,1,1.7565,2.6918,0.1574,0.0956,0.9157,4,0.0482,0.881,1,0.1342
8,11,0,0.6752,2.4341,0.2998,0.0078,0.817,2,0.0331,0.938,0,0.2838
8,12,0,0.2129,0.275,0.2341,0.1247,0.2994,6,0.0098,0.3025,1,0.1399
8,13,3,8.6444,0.4749,0.2576,0.185,0.1742,7,0.0131,0.0823,0,0.628
8,14,2,1.708,1.6504,0.2514,0.1288,0.8895,4,0.041,0.4709,0,0.2044
8,15,0,3.2161,0.1973,0.0882,0.1837,0.5129,6,0.1548,0.6447,0,0.0357
8,16,0,0.6532,0.3702,0.3665,0.219,0.143,6,0.0297,0.7295,0,0.493
8,17,1,1.778,2.0895,0.3063,0.0236,0.2939,2,0.0076,0.9485,1,0.48
8,18,0,2.8578,1.079,0.5111,0.0524,0.7629,7,0.0119,0.67,0,0.4543
8,19,1,3.8344,3.9546,0.1185,0.1251,0.1998,3,0.0656,0.7508,0,0.1781
9,0,1,0.0387,2.6305,0.4504,0.0025,0.6679,3,0.1351,0.6534,0,0.4694
9,1,0,0.8628,3.6616,0.4071,0.0282,0.1423,3,0.0298,0.8495,0,0.356
9,2,0,0.3604,0.4116,0.3176,0.281,0.005,6,0.1347,0.7539,0,0.438
9,3,0,0.0138,0.3582,0.0699,0.2033,0.2716,1,0.0731,0.7297,1,0.5143
9,4,0,2.2924,4.4906,0.1981,0.0328,0.0452,4,0.0946,0.9316,1,0.488
9,5,1,0.7914,0.0163,0.2862,0.0394,0.6587,4,0.0737,0.2231,1,0.3929
9,6,0,0.0646,2.2852,0.2092,0.3545,0.1379,2,0.1191,0.8207,0,0.1834
9,7,0,0.4691,0.1327,0.31,0.0409,0.4591,5,0.064,0.2042,0,0.2593
9,8,0,0.5748,1.5927,0.2752,0.0273,0.5123,7,0.0483,0.0768,0,0.3205
9,9,0,1.8926,0.7013,0.2181,0.1229,0.1818,3,0.0495,0.0292,1,0.382
9,10,1,6.9267,0.4564,0.4305,0.0416,0.3148,2,0.0194,0.7315,1,0.6441
9,11,0,1.1288,0.7147,0.2113,0.0571,0.0393,3,0.0069,0.8285,1,0.1102
9,12,0,1.1617,0.213,0.4034,0.2496,0.4597,2,0.0629,0.2227,0,0.3281
9,13,0,1.0831,2.1238,0.1601,0.1007,0.8349,5,0.0219,0.3046,0,0.336
9,14,0,0.0195,2.9274,0.1413,0.058,0.0063,2,0.1045,0.2715,1,0.2739
9,15,0,3.5719,2.4571,0.2166,0.0208,0.0835,6,0.0219,0.7525,0,0.0122
9,16,0,1.6972,2.4555,0.2962,0.0467,0.6797,5,0.0552,0.3375,1,0.7758
9,17,0,0.2356,1.5666,0.2723,0.011,0.082,4,0.0278,0.2706,0,0.343
9,18,0,1.932,0.7945,0.0371,0.0438,0.6891,1,0.0703,0.2536,0,0.6615
9,19,0,3.1353,1.3837,0.1603,0.2174,0.6611,6,0.0382,0.2187,0,0.6029
10,0,0,5.2862,0.6051,0.5869,0.0112,0.6638,6,0.1417,0.592,0,0.2274
10,1,0,0.2728,2.4157,0.3267,0.0327,0.2536,5,0.1214,0.272,0,0.3919
10,2,1,2.1876,1.2199,0.5345,0.1098,0.1182,1,0.0127,0.0921,1,0.2579
10,3,1,2.1948,6.7425,0.3139,0.0113,0.8913,3,0.0336,0.8125,0,0.5086
10,4,1,2.0015,0.206,0.1387,0.1338,0.7302,5,0.0796,0.7675,0,0.667
10,5,1,1.6017,1.1121,0.2024,0.1231,0.2957,3,0.0386,0.0416,0,0.1261
10,6,1,0.9077,1.5365,0.2932,0.059,0.0209,1,0.0755,0.6761,0,0.2499
10,7,0,1.7337,0.6361,0.1538,0.009,0.941,5,0.0403,0.1151,1,0.2035
10,8,1,3.361,4.2328,0.1353,0.0598,0.1268,5,0.033,0.62,0,0.4168
10,9,1,0.2477,0.4401,0.5471,0.0119,0.6144,7,0.0477,0.9396,1,0.5382
10,10,1,3.06,0.4867,0.2877,0.4237,0.4813,5,0.0684,0.3418,1,0.5435
10,11,1,1.8852,0.0366,0.3855,0.1691,0.2645,2,0.0103,0.7998,0,0.3203
10,12,0,1.5579,1.3936,0.1711,0.0036,0.7637,3,0.0809,0.0801,0,0.2346
10,13,0,0.105,0.7607,0.5591,0.0113,0.566,1,0.0697,0.0487,0,0.3722
10,14,1,0.0933,4.3773,0.1429,0.0136,0.3581,3,0.014,0.6907,1,0.4118
10,15,1,2.9046,0.8008,0.2305,0.0043,0.5499,7,0.01,0.097,0,0.2241
10,16,1,5.1133,0.1133,0.242,0.0273,0.3993,3,0.0425,0.7397,0,0.1905
10,17,0,0.3999,4.7267,0.3244,0.0517,0.0592,4,0.0154,0.133,0,0.4612
10,18,0,1.0839,0.6643,0.3089,0.1195,0.0252,2,0.0566,0.473,0,0.111
10,19,0,0.2797,0.8712,0.1279,0.0445,0.2426,6,0.043,0.9415,0,0.2886
11,0,1,1.4737,3.4034,0.2113,0.0976,0.5721,3,0.026,0.1646,0,0.1704
11,1,0,3.5621,0.2928,0.2229,0.0011,0.6048,4,0.1536,0.7987,1,0.3043
11,2,2,2.273,4.0267,0.4034,0.2371,0.8591,5,0.0197,0.6749,0,0.4114
11,3,1,0.723,2.2841,0.4031,0.1292,0.2068,6,0.0149,0.2066,0,0.2243
11,4,1,3.4884,2.3775,0.5243,0.1038,0.0824,4,0.0641,0.4856,0,0.1728
11,5,1,0.1105,1.6601,0.4957,0.0281,0.4454,5,0.0135,0.9436,1,0.4259
11,6,1,1.8218,0.1283,0.3098,0.1465,0.4018,5,0.1073,0.5111,0,0.6174
11,7,1,0.9019,3.1714,0.4498,0.0068,0.6792,4,0.0862,0.6296,1,0.1911
11,8,1,4.8498,0.3756,0.0919,0.0037,0.3968,2,0.015,0.0734,0,0.0511
11,9,2,2.0925,0.8144,0.1414,0.0502,0.9957,5,0.1229,0.4787,1,0.0492
11,10,1,3.4545,2.0966,0.3172,0.1539,0.744,1,0.0182,0.7187,0,0.659
11,11,1,3.953,3.0153,0.5844,0.0418,0.7546,6,0.0565,0.3986,1,0.2865
11,12,1,6.1601,0.195,0.0851,0.0343,0.8079,3,0.0054,0.3302,0,0.3329
11,13,1,2.0152,0.1983,0.2897,0.1786,0.8596,4,0.0182,0.2123,0,0.3212
11,14,1,4.2143,4.5711,0.4025,0.0334,0.8298,6,0.0889,0.1558,0,0.7849
11,15,1,0.6404,4.6734,0.2108,0.0555,0.3816,6,0.0528,0.4782,1,0.4326
11,16,2,2.3852,3.867,0.1972,0.0748,0.6888,5,0.0153,0.1967,0,0.2027
11,17,0,0.9004,2.6059,0.4017,0.0132,0.0253,7,0.0899,0.5758,1,0.1262
11,18,1,1.5704,0.3952,0.4724,0.05,0.5704,6,0.0783,0.5467,1,0.4576
11,19,2,4.9656,0.5959,0.5429,0.0938,0.2571,7,0.0514,0.2166,1,0.5246
12,0,1,4.9832,1.2097,0.5625,0.1703,0.9858,4,0.0473,0.7416,1,0.5755
12,1,2,2.2402,0.8977,0.0986,0.19,0.7486,5,0.0502,0.3805,0,0.024
12,2,1,2.2831,1.6482,0.441,0.0452,0.3877,4,0.0773,0.9387,0,0.5017
12,3,1,5.5205,1.0875,0.0924,0.1225,0.5839,4,0.0226,0.8696,0,0.4179
12,4,0,1.5329,1.5131,0.1155,0.1824,0.9531,6,0.0156,0.0927,0,0.472
12,5,0,1.3166,0.0885,0.4484,0.1069,0.4872,1,0.0723,0.6025,0,0.0495
12,6,0,0.1776,0.8597,0.561,0.049,0.9226,7,0.1106,0.8364,1,0.1978
12,7,0,0.7849,1.6756,0.1544,0.051,0.8457,2,0.0892,0.195,0,0.187
12,8,2,3.7157,0.4565,0.1844,0.0951,0.3155,5,0.0302,0.4042,1,0.3611
12,9,0,1.4563,2.8276,0.0751,0.0199,0.1719,5,0.0171,0.1646,0,0.274
12,10,0,2.7207,1.1416,0.2111,0.0041,0.802,7,0.0561,0.8992,0,0.6895
12,11,0,2.8576,1.6924,0.1739,0.0298,0.4686,5,0.0452,0.4428,1,0.3935
12,12,1,0.0762,1.0559,0.084,0.1997,0.4453,5,0.0134,0.9382,0,0.4753
12,13,0,0.4583,2.3992,0.2374,0.0254,0.8695,2,0.0246,0.7409,0,0.1022
12,14,0,0.6898,3.8717,0.2606,0.0209,0.8656,6,0.2174,0.4193,1,0.5919
12,15,1,2.1655,0.0587,0.2905,0.1704,0.8644,4,0.2076,0.9389,0,0.6624
12,16,0,0.4988,0.2588,0.3808,0.0515,0.6508,5,0.03,0.2979,1,0.4312
12,17,1,5.6243,0.6302,0.2358,0.0815,0.0394,1,0.1077,0.0471,0,0.5375
12,18,1,0.2374,1.4105,0.0544,0.2231,0.9454,6,0.002,0.2787,1,0.7635
12,19,1,1.0383,10.0793,0.3452,0.0989,0.087,5,0.0434,0.4722,1,0.1877
13,0,1,1.6888,1.4132,0.1567,0.0217,0.9558,7,0.0037,0.1692,1,0.2461
13,1,1,1.5696,1.781,0.3044,0.1484,0.4318,7,0.013,0.0324,0,0.6079
13,2,0,0.5384,0.2324,0.1563,0.0135,0.6543,1,0.1161,0.5831,1,0.4346
13,3,1,4.0357,0.4196,0.2621,0.0524,0.2735,4,0.0055,0.2303,0,0.3027
13,4,1,0.0136,2.165,0.2771,0.0922,0.0027,3,0.0185,0.6769,0,0.5588
13,5,0,0.0616,2.7851,0.0846,0.0093,0.5448,4,0.0132,0.0896,1,0.6675
13,6,2,4.0232,3.0787,0.4954,0.0517,0.4322,5,0.0447,0.3597,0,0.3817
13,7,1,1.0525,0.5993,0.3442,0.0213,0.9874,1,0.027,0.1044,0,0.0132
13,8,1,2.5618,0.287,0.0718,0.0356,0.9296,7,0.0053,0.2581,0,0.4901
13,9,1,3.3001,2.19,0.4032,0.0608,0.639,5,0.0033,0.8662,0,0.2256
13,10,1,1.341,1.1141,0.0735,0.0111,0.6215,2,0.1489,0.2575,0,0.4957
13,11,1,0.2387,1.9973,0.2745,0.0238,0.9744,6,0.1036,0.0216,0,0.4627
13,12,1,2.787,1.3314,0.0998,0.0547,0.9469,2,0.0524,0.0661,1,0.3119
13,13,1,2.1708,1.8846,0.2232,0.0031,0.449,7,0.0526,0.494,1,0.2025
13,14,1,1.1817,1.6706,0.277,0.1742,0.6058,2,0.0733,0.0914,1,0.0856
13,15,0,0.1174,1.3294,0.3389,0.0713,0.7352,3,0.0782,0.8384,1,0.4553
13,16,1,2.8479,1.4504,0.7155,0.0827,0.7769,2,0.094,0.0562,1,0.354
13,17,1,6.3388,0.051,0.094,0.0208,0.1442,3,0.0399,0.9761,0,0.6259
13,18,1,3.5759,1.0201,0.4234,0.1301,0.9473,2,0.0384,0.9457,0,0.5674
13,19,0,0.3107,0.1658,0.5103,0.1114,0.5373,5,0.1181,0.2183,0,0.5487
14,0,0,0.0137,0.9439,0.1714,0.036,0.8571,2,0.1851,0.4301,0,0.1198
14,1,1,0.1393,0.468,0.2367,0.1188,0.1461,4,0.0299,0.8981,1,0.5025
